label,w_dist_fid,w_hazard_exp,w_turns,w_hist,err_mean,valid_pct,exposure_mean,turns_mean,fallbacks
,0.05,0.05,0.9,0,2.403,100,198.3,0.9,7
,0.05,0.1,0.85,0,2.395,100,191.2,0.9,7
,0.05,0.15,0.8,0,2.431,100,174.3,0.9,7
,0.05,0.2,0.75,0,2.476,100,152.2,0.92,7
,0.05,0.25,0.7,0,2.417,100,131.5,0.93,7
,0.05,0.3,0.65,0,2.456,100,122.8,0.94,7
,0.05,0.35,0.6,0,2.422,100,110.4,0.96,7
,0.05,0.4,0.55,0,2.386,100,101.2,0.98,7
,0.05,0.45,0.5,0,2.398,100,99.4,0.98,7
,0.05,0.5,0.45,0,2.345,100,95.7,1,7
,0.05,0.55,0.4,0,2.35,100,94.6,1,7
,0.05,0.6,0.35,0,2.364,100,91.6,1.01,7
,0.05,0.65,0.3,0,2.364,100,91.6,1.01,7
,0.05,0.7,0.25,0,2.368,100,90.5,1.02,7
,0.05,0.75,0.2,0,2.428,100,87.9,1.03,7
,0.05,0.8,0.15,0,2.35,100,87.9,1.03,7
,0.05,0.85,0.1,0,2.31,100,87.6,1.04,7
,0.05,0.9,0.05,0,2.106,100,87.6,1.07,7
,0.1,0.05,0.85,0,2.375,100,198.3,0.9,7
,0.1,0.1,0.8,0,2.368,100,191.2,0.9,7
,0.1,0.15,0.75,0,2.403,100,174.3,0.9,7
,0.1,0.2,0.7,0,2.383,100,136.1,0.93,7
,0.1,0.25,0.65,0,2.389,100,131.5,0.93,7
,0.1,0.3,0.6,0,2.381,100,120.4,0.95,7
,0.1,0.35,0.55,0,2.358,100,108.7,0.96,7
,0.1,0.4,0.5,0,2.371,100,99.4,0.98,7
,0.1,0.45,0.45,0,2.328,100,97.4,0.99,7
,0.1,0.5,0.4,0,2.345,100,95.7,1,7
,0.1,0.55,0.35,0,2.269,100,92.9,1.01,7
,0.1,0.6,0.3,0,2.286,100,91.6,1.01,7
,0.1,0.65,0.25,0,2.269,100,90.5,1.03,7
,0.1,0.7,0.2,0,2.251,100,89.7,1.03,7
,0.1,0.75,0.15,0,2.238,100,87.9,1.05,7
,0.1,0.8,0.1,0,2.097,100,87.9,1.07,7
,0.1,0.85,0.05,0,1.886,100,87.6,1.13,7
,0.15,0.05,0.8,0,2.375,100,198.3,0.9,7
,0.15,0.1,0.75,0,2.348,100,189.8,0.9,7
,0.15,0.15,0.7,0,2.333,100,171,0.91,7
,0.15,0.2,0.65,0,2.36,100,134.4,0.93,7
,0.15,0.25,0.6,0,2.358,100,126.8,0.94,7
,0.15,0.3,0.55,0,2.239,100,118.5,0.96,7
,0.15,0.35,0.5,0,2.209,100,103.5,0.98,7
,0.15,0.4,0.45,0,2.269,100,98.7,0.99,7
,0.15,0.45,0.4,0,2.245,100,95.7,1,7
,0.15,0.5,0.35,0,2.233,100,92.9,1.01,7
,0.15,0.55,0.3,0,2.205,100,92.9,1.01,7
,0.15,0.6,0.25,0,2.186,100,90.5,1.04,7
,0.15,0.65,0.2,0,2.128,100,89.7,1.05,7
,0.15,0.7,0.15,0,2.063,100,89.1,1.06,7
,0.15,0.75,0.1,0,1.918,100,89.2,1.1,7
,0.15,0.8,0.05,0,1.819,100,87.7,1.15,7
,0.2,0.05,0.75,0,2.32,100,197,0.9,7
,0.2,0.1,0.7,0,2.313,100,189.8,0.9,7
,0.2,0.15,0.65,0,2.267,100,159.8,0.92,7
,0.2,0.2,0.6,0,2.219,100,135.9,0.93,7
,0.2,0.25,0.55,0,2.197,100,120.3,0.95,7
,0.2,0.3,0.5,0,2.146,100,114.4,0.96,7
,0.2,0.35,0.45,0,2.223,100,101.7,0.98,7
,0.2,0.4,0.4,0,2.188,100,98.7,1,7
,0.2,0.45,0.35,0,2.164,100,93.9,1.01,7
,0.2,0.5,0.3,0,2.132,100,92.9,1.02,7
,0.2,0.55,0.25,0,2.071,100,93,1.03,7
,0.2,0.6,0.2,0,2.015,100,89.8,1.06,7
,0.2,0.65,0.15,0,1.972,100,89.8,1.07,7
,0.2,0.7,0.1,0,1.823,100,89.2,1.13,7
,0.2,0.75,0.05,0,1.759,100,88.9,1.16,7
,0.25,0.05,0.7,0,2.282,100,194.8,0.9,7
,0.25,0.1,0.65,0,2.273,100,184.1,0.91,7
,0.25,0.15,0.6,0,2.175,100,151.1,0.92,7
,0.25,0.2,0.55,0,2.147,100,134.4,0.94,7
,0.25,0.25,0.5,0,2.097,100,116.2,0.96,7
,0.25,0.3,0.45,0,2.068,100,113.3,0.97,7
,0.25,0.35,0.4,0,2.11,100,100.5,1,7
,0.25,0.4,0.35,0,2.094,100,97.1,1.01,7
,0.25,0.45,0.3,0,2.071,100,93,1.03,7
,0.25,0.5,0.25,0,1.979,100,93,1.04,7
,0.25,0.55,0.2,0,1.958,100,91.9,1.06,7
,0.25,0.6,0.15,0,1.862,100,89.8,1.1,7
,0.25,0.65,0.1,0,1.785,100,89.8,1.12,7
,0.25,0.7,0.05,0,1.759,100,88.9,1.16,7
,0.3,0.05,0.65,0,2.227,100,194.6,0.91,7
,0.3,0.1,0.6,0,2.135,100,175.1,0.92,7
,0.3,0.15,0.55,0,2.092,100,144.3,0.94,7
,0.3,0.2,0.5,0,1.997,100,125.9,0.96,7
,0.3,0.25,0.45,0,1.975,100,119,0.98,7
,0.3,0.3,0.4,0,1.956,100,112.7,0.99,7
,0.3,0.35,0.35,0,2.055,100,97.1,1.01,7
,0.3,0.4,0.3,0,1.95,100,96,1.04,7
,0.3,0.45,0.25,0,1.953,100,93,1.05,7
,0.3,0.5,0.2,0,1.855,100,93,1.07,7
,0.3,0.55,0.15,0,1.764,100,91.1,1.12,7
,0.3,0.6,0.1,0,1.756,100,89.8,1.14,7
,0.3,0.65,0.05,0,1.716,100,89.8,1.16,7
,0.35,0.05,0.6,0,2.122,100,190.2,0.92,7
,0.35,0.1,0.55,0,2.095,100,174.4,0.93,7
,0.35,0.15,0.5,0,1.999,100,135.5,0.95,7
,0.35,0.2,0.45,0,1.92,100,121.3,0.98,7
,0.35,0.25,0.4,0,1.9,100,120.1,0.99,7
,0.35,0.3,0.35,0,1.847,100,111,1.01,7
,0.35,0.35,0.3,0,1.939,100,96,1.04,7
,0.35,0.4,0.25,0,1.826,100,96,1.07,7
,0.35,0.45,0.2,0,1.797,100,94.3,1.09,7
,0.35,0.5,0.15,0,1.754,100,91.1,1.12,7
,0.35,0.55,0.1,0,1.692,100,91.1,1.15,7
,0.35,0.6,0.05,0,1.68,100,91.1,1.16,7
,0.4,0.05,0.55,0,2.019,100,184.5,0.93,7
,0.4,0.1,0.5,0,2,100,164.5,0.94,7
,0.4,0.15,0.45,0,1.91,100,124.8,0.98,7
,0.4,0.2,0.4,0,1.809,100,120.1,1,7
,0.4,0.25,0.35,0,1.791,100,118.3,1,7
,0.4,0.3,0.3,0,1.774,100,109.8,1.03,7
,0.4,0.35,0.25,0,1.812,100,96.5,1.07,7
,0.4,0.4,0.2,0,1.747,100,94.3,1.1,7
,0.4,0.45,0.15,0,1.736,100,92.3,1.12,7
,0.4,0.5,0.1,0,1.692,100,91.1,1.15,7
,0.4,0.55,0.05,0,1.675,100,91.1,1.16,7
,0.45,0.05,0.5,0,1.924,100,181.4,0.94,7
,0.45,0.1,0.45,0,1.834,100,150.4,0.97,7
,0.45,0.15,0.4,0,1.803,100,125.1,0.99,7
,0.45,0.2,0.35,0,1.765,100,118.3,1.01,7
,0.45,0.25,0.3,0,1.653,100,117.3,1.04,7
,0.45,0.3,0.25,0,1.634,100,108,1.07,7
,0.45,0.35,0.2,0,1.674,100,100.3,1.1,7
,0.45,0.4,0.15,0,1.707,100,94.3,1.12,7
,0.45,0.45,0.1,0,1.679,100,92.3,1.15,7
,0.45,0.5,0.05,0,1.658,100,92.3,1.17,7
,0.5,0.05,0.45,0,1.833,100,180.7,0.96,7
,0.5,0.1,0.4,0,1.719,100,138.7,0.99,7
,0.5,0.15,0.35,0,1.658,100,123.1,1.03,7
,0.5,0.2,0.3,0,1.642,100,118.3,1.04,7
,0.5,0.25,0.25,0,1.559,100,117.3,1.07,7
,0.5,0.3,0.2,0,1.599,100,108,1.09,7
,0.5,0.35,0.15,0,1.628,100,100.3,1.12,7
,0.5,0.4,0.1,0,1.665,100,92.8,1.15,7
,0.5,0.45,0.05,0,1.658,100,92.3,1.17,7
,0.55,0.05,0.4,0,1.6,100,180.7,1,7
,0.55,0.1,0.35,0,1.589,100,136.2,1.02,7
,0.55,0.15,0.3,0,1.531,100,123.7,1.07,7
,0.55,0.2,0.25,0,1.559,100,117.3,1.07,7
,0.55,0.25,0.2,0,1.543,100,117.3,1.08,7
,0.55,0.3,0.15,0,1.524,100,110.3,1.12,7
,0.55,0.35,0.1,0,1.609,100,98.3,1.15,7
,0.55,0.4,0.05,0,1.612,100,96.6,1.17,7
,0.6,0.05,0.35,0,1.539,100,178,1.02,7
,0.6,0.1,0.3,0,1.471,100,137.4,1.06,7
,0.6,0.15,0.25,0,1.47,100,127.9,1.08,7
,0.6,0.2,0.2,0,1.463,100,122.9,1.09,7
,0.6,0.25,0.15,0,1.481,100,117,1.11,7
,0.6,0.3,0.1,0,1.497,100,111,1.12,7
,0.6,0.35,0.05,0,1.612,100,96.6,1.17,7
,0.65,0.05,0.3,0,1.439,100,165.8,1.05,7
,0.65,0.1,0.25,0,1.438,100,135.3,1.08,7
,0.65,0.15,0.2,0,1.428,100,126.7,1.1,7
,0.65,0.2,0.15,0,1.434,100,122.9,1.11,7
,0.65,0.25,0.1,0,1.438,100,121.1,1.12,7
,0.65,0.3,0.05,0,1.488,100,109.8,1.15,7
,0.7,0.05,0.25,0,1.409,100,164.7,1.07,7
,0.7,0.1,0.2,0,1.358,100,139.2,1.11,7
,0.7,0.15,0.15,0,1.362,100,134.6,1.12,7
,0.7,0.2,0.1,0,1.401,100,125.5,1.12,7
,0.7,0.25,0.05,0,1.426,100,119.2,1.15,7
,0.75,0.05,0.2,0,1.305,100,186.4,1.11,7
,0.75,0.1,0.15,0,1.322,100,150,1.13,7
,0.75,0.15,0.1,0,1.325,100,140.2,1.14,7
,0.75,0.2,0.05,0,1.344,100,132.6,1.15,7
,0.8,0.05,0.15,0,1.277,100,186.9,1.14,7
,0.8,0.1,0.1,0,1.305,100,148.9,1.15,7
,0.8,0.15,0.05,0,1.301,100,148.1,1.16,7
,0.85,0.05,0.1,0,1.264,100,176.1,1.15,7
,0.85,0.1,0.05,0,1.278,100,166.9,1.16,7
,0.9,0.05,0.05,0,1.262,100,176.1,1.16,7
produccion,0.45,0.35,0.2,0,1.674,100,100.3,1.1,7
seguridad,0.315,0.595,0.2,0,1.86,100,91.9,1.09,7
distancia,0.72,0.175,0.2,0,1.412,100,126.7,1.11,7